163,TeamNorthernIreland,isAwayTeam,Match20
164,TeamWales,winnerOf,Match20
165,TeamNorthernIreland,loserOf,Match20
166,Match20,inTournament,TournamentFriendly
167,Match20,inCity,CityWrexham
168,Match20,inCountry,CountryWales
169,Match20,isNeutral,FALSE
170,Match20,atYear,1882
171,Match20,homeScores,7
172,Match20,awayScores,1
173,TeamScotland,isHomeTeam,Match21
174,TeamEngland,isAwayTeam,Match21
175,TeamScotland,winnerOf,Match21
176,TeamEngland,loserOf,Match21
177,Match21,inTournament,TournamentFriendly
178,Match21,inCity,CityGlasgow
179,Match21,inCountry,CountryScotland
180,Match21,isNeutral,FALSE
181,Match21,atYear,1882
182,Match21,homeScores,5
183,Match21,awayScores,1
184,TeamWales,isHomeTeam,Match22
185,TeamEngland,isAwayTeam,Match22
186,TeamWales,winnerOf,Match22
187,TeamEngland,loserOf,Match22
188,Match22,inTournament,TournamentFriendly
189,Match22,inCity,CityWrexham
190,Match22,inCountry,CountryWales
191,Match22,isNeutral,FALSE
192,Match22,atYear,1882
193,Match22,homeScores,5
194,Match22,awayScores,3
195,TeamScotland,isHomeTeam,Match23
196,TeamWales,isAwayTeam,Match23
197,TeamScotland,winnerOf,Match23
198,TeamWales,loserOf,Match23
199,Match23,inTournament,TournamentFriendly
200,Match23,inCity,CityGlasgow
201,Match23,inCountry,CountryScotland
202,Match23,isNeutral,FALSE
203,Match23,atYear,1882
204,Match23,homeScores,5
205,Match23,awayScores,0
206,TeamEngland,isHomeTeam,Match24
207,TeamWales,isAwayTeam,Match24
208,TeamEngland,winnerOf,Match24
209,TeamWales,loserOf,Match24
210,Match24,inTournament,TournamentFriendly
211,Match24,inCity,CityLondon
212,Match24,inCountry,CountryEngland
213,Match24,isNeutral,FALSE
214,Match24,atYear,1883
215,Match24,homeScores,5
216,Match24,awayScores,0
217,TeamEngland,isHomeTeam,Match25
218,TeamNorthernIreland,isAwayTeam,Match25
219,TeamEngland,winnerOf,Match25
220,TeamNorthernIreland,loserOf,Match25
221,Match25,inTournament,TournamentFriendly
222,Match25,inCity,CityLiverpool
223,Match25,inCountry,CountryEngland
224,Match25,isNeutral,FALSE
225,Match25,atYear,1883
226,Match25,homeScores,7
227,Match25,awayScores,0
228,TeamEngland,isHomeTeam,Match26
229,TeamScotland,isAwayTeam,Match26
230,TeamEngland,loserOf,Match26
231,TeamScotland,winnerOf,Match26
232,Match26,inTournament,TournamentFriendly
233,Match26,inCity,CitySheffield
234,Match26,inCountry,CountryEngland
235,Match26,isNeutral,FALSE
236,Match26,atYear,1883
237,Match26,homeScores,2
238,Match26,awayScores,3
239,TeamWales,isHomeTeam,Match27
240,TeamScotland,isAwayTeam,Match27
241,TeamWales,loserOf,Match27
242,TeamScotland,winnerOf,Match27
243,Match27,inTournament,TournamentFriendly
244,Match27,inCity,CityWrexham
245,Match27,inCountry,CountryWales
246,Match27,isNeutral,FALSE
247,Match27,atYear,1883
248,Match27,homeScores,0
249,Match27,awayScores,3
250,TeamNorthernIreland,isHomeTeam,Match28
251,TeamWales,isAwayTeam,Match28
252,TeamNorthernIreland,draws,Match28
253,TeamWales,draws,Match28
254,Match28,inTournament,TournamentFriendly
255,Match28,inCity,CityBelfast
256,Match28,inCountry,CountryRepublicOfIreland
257,Match28,isNeutral,FALSE
258,Match28,atYear,1883
259,Match28,homeScores,1
260,Match28,awayScores,1
261,TeamNorthernIreland,isHomeTeam,Match29
262,TeamScotland,isAwayTeam,Match29
263,TeamNorthernIreland,loserOf,Match29
264,TeamScotland,winnerOf,Match29
265,Match29,inTournament,TournamentBritishChampionship
266,Match29,inCity,CityBelfast
267,Match29,inCountry,CountryRepublicOfIreland
268,Match29,isNeutral,FALSE
269,Match29,atYear,1884
270,Match29,homeScores,0
271,Match29,awayScores,5
272,TeamWales,isHomeTeam,Match30
273,TeamNorthernIreland,isAwayTeam,Match30
274,TeamWales,winnerOf,Match30
275,TeamNorthernIreland,loserOf,Match30
276,Match30,inTournament,TournamentBritishChampionship
277,Match30,inCity,CityWrexham
278,Match30,inCountry,CountryWales
279,Match30,isNeutral,FALSE
280,Match30,atYear,1884
281,Match30,homeScores,6
282,Match30,awayScores,0
283,TeamNorthernIreland,isHomeTeam,Match31
284,TeamEngland,isAwayTeam,Match31
285,TeamNorthernIreland,loserOf,Match31
286,TeamEngland,winnerOf,Match31
287,Match31,inTournament,TournamentBritishChampionship
288,Match31,inCity,CityBelfast
289,Match31,inCountry,CountryRepublicOfIreland
290,Match31,isNeutral,FALSE
291,Match31,atYear,1884
292,Match31,homeScores,1
293,Match31,awayScores,8
294,TeamScotland,isHomeTeam,Match32
295,TeamEngland,isAwayTeam,Match32
296,TeamScotland,winnerOf,Match32
297,TeamEngland,loserOf,Match32
298,Match32,inTournament,TournamentBritishChampionship
299,Match32,inCity,CityGlasgow
300,Match32,inCountry,CountryScotland
301,Match32,isNeutral,FALSE
302,Match32,atYear,1884
303,Match32,homeScores,1
304,Match32,awayScores,0
305,TeamWales,isHomeTeam,Match33
306,TeamEngland,isAwayTeam,Match33
307,TeamWales,loserOf,Match33
308,TeamEngland,winnerOf,Match33
309,Match33,inTournament,TournamentBritishChampionship
310,Match33,inCity,CityWrexham
311,Match33,inCountry,CountryWales
312,Match33,isNeutral,FALSE
313,Match33,atYear,1884
314,Match33,homeScores,0
315,Match33,awayScores,4
316,TeamScotland,isHomeTeam,Match34
317,TeamWales,isAwayTeam,Match34
318,TeamScotland,winnerOf,Match34
319,TeamWales,loserOf,Match34
320,Match34,inTournament,TournamentBritishChampionship
321,Match34,inCity,CityGlasgow
322,Match34,inCountry,CountryScotland
323,Match34,isNeutral,FALSE
324,Match34,atYear,1884
325,Match34,homeScores,4
326,Match34,awayScores,1
327,TeamEngland,isHomeTeam,Match35
328,TeamNorthernIreland,isAwayTeam,Match35
329,TeamEngland,winnerOf,Match35
330,TeamNorthernIreland,loserOf,Match35
331,Match35,inTournament,TournamentBritishChampionship
332,Match35,inCity,CityManchester
333,Match35,inCountry,CountryEngland
334,Match35,isNeutral,FALSE
335,Match35,atYear,1885
336,Match35,homeScores,4
337,Match35,awayScores,0
338,TeamEngland,isHomeTeam,Match36
339,TeamWales,isAwayTeam,Match36
340,TeamEngland,draws,Match36
341,TeamWales,draws,Match36
342,Match36,inTournament,TournamentBritishChampionship
343,Match36,inCity,CityBlackburn
344,Match36,inCountry,CountryEngland
345,Match36,isNeutral,FALSE
346,Match36,atYear,1885
347,Match36,homeScores,1
348,Match36,awayScores,1
349,TeamScotland,isHomeTeam,Match37
350,TeamNorthernIreland,isAwayTeam,Match37
351,TeamScotland,winnerOf,Match37
352,TeamNorthernIreland,loserOf,Match37
353,Match37,inTournament,TournamentBritishChampionship
354,Match37,inCity,CityGlasgow
355,Match37,inCountry,CountryScotland
356,Match37,isNeutral,FALSE
357,Match37,atYear,1885
358,Match37,homeScores,8
359,Match37,awayScores,2
360,TeamEngland,isHomeTeam,Match38
361,TeamScotland,isAwayTeam,Match38
362,TeamEngland,draws,Match38
363,TeamScotland,draws,Match38
364,Match38,inTournament,TournamentBritishChampionship
365,Match38,inCity,CityLondon
366,Match38,inCountry,CountryEngland
367,Match38,isNeutral,FALSE
368,Match38,atYear,1885
369,Match38,homeScores,1
